Original_Text,Actual,Predicted,Probability_Positive,Confidence,Correct,Actual_Label,Predicted_Label,Error_Category
me too i like listening to rain when i dont have to go out in it,1,0,0.04971510659579777,0.9502848934042022,False,Positive,Negative,Uncoded
hard to go walkies with no paws,1,0,0.07641811788546782,0.9235818821145322,False,Positive,Negative,Uncoded
i can talk i mean i wish i was at ripe,1,0,0.01411957196244958,0.9858804280375504,False,Positive,Negative,Uncoded
jst finished bathing the kid and enjoying the jungle book what a night,0,1,0.928279252707395,0.928279252707395,False,Negative,Positive,Uncoded
hey u i likeddiddid that movi whre u been tho giant i missed u was lookin at our last picture,1,0,0.08005301475698014,0.9199469852430199,False,Positive,Negative,Uncoded
lari just told me quot i'm sick like mommy my head hurts quot,1,0,0.037703483617465526,0.9622965163825344,False,Positive,Negative,Uncoded
my lake is brocken ohhhh noooo i hate radball,1,0,0.006506222341646212,0.9934937776583538,False,Positive,Negative,Uncoded
yeah i watched the game haha felt really sleepy throughout the game though kane must be depressed,1,0,0.08208468463430765,0.9179153153656924,False,Positive,Negative,Uncoded
i haven't stepped out of my house in the last 40 hours i'm suffocating my soft feathery horny kitty is following me,1,0,0.08096483384418345,0.9190351661558166,False,Positive,Negative,Uncoded
watching countdown i got 'ski',0,1,0.931997442112476,0.931997442112476,False,Negative,Positive,Uncoded
it's too hot outside,1,0,0.08554364305402959,0.9144563569459704,False,Positive,Negative,Uncoded
new phone number check out my facebook if you need it bye 847,0,1,0.91090841567645,0.91090841567645,False,Negative,Positive,Uncoded
monday not going to work closing my door going to finish my assignments goodmorn opportunity to get a blackberry,1,0,0.05061236954807331,0.9493876304519266,False,Positive,Negative,Uncoded
sorry i kind of dropped from the game or tried to,1,0,0.0181246901979499,0.9818753098020501,False,Positive,Negative,Uncoded
i feel bad about the last test but other than that i hope i didn't bring you down this semester,1,0,0.059098655094871846,0.9409013449051281,False,Positive,Negative,Uncoded
alone in the dark doesn't need changing gameporn,1,0,0.02137501876477546,0.9786249812352246,False,Positive,Negative,Uncoded
yep but i'm going better now,0,1,0.9139762035951643,0.9139762035951643,False,Negative,Positive,Uncoded
yes sadly it sort of is i guess that makes me mopey today,1,0,0.07863198412890898,0.9213680158710911,False,Positive,Negative,Uncoded
nice unfortunately i probably cant i wish i had that power,1,0,0.0010432658078130604,0.9989567341921869,False,Positive,Negative,Uncoded
sorry you're having a bad day hope you feel better tomorrow,1,0,0.007575443968475366,0.9924245560315247,False,Positive,Negative,Uncoded
contacts make my eyes feel like they're falling out of my face off to sleep,1,0,0.078781001112086,0.921218998887914,False,Positive,Negative,Uncoded
i think i caught a cold amp that sucks,1,0,0.019318588449856986,0.980681411550143,False,Positive,Negative,Uncoded
in a boring p s e lesson doing my cv i dont have any hobbies lol and i can't put 'twittering' down,1,0,0.041651805551571636,0.9583481944484283,False,Positive,Negative,Uncoded
