text,clean_text,sentiment
"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",a that's a bummer you shoulda got david carr of third day to do it d,0
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,is upset that he can't update his facebook by texting it and might cry as a result school today also blah,0
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,i dived many times for the ball managed to save 50 the rest go out of bounds,0
my whole body feels itchy and like its on fire ,my whole body feels itchy and like its on fire,0
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",no it's not behaving at all i'm mad why am i here because i can't see you all over there,0
@Kwesidei not the whole crew ,not the whole crew,0
Need a hug ,need a hug,0
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",hey long time no see yes rains a bit only a bit lol i'm fine thanks how's you,0
@Tatiana_K nope they didn't have it ,nope they didn't have it,0
@twittera que me muera ? ,que me muera,0
